date,sentiment_score,sentiment_positive,sentiment_negative,sentiment_neutral,news_count
2025-01-25,0.1895294304316242,0.265227796923783,0.0756983664921588,0.6590738455178561,27.0
2025-01-26,0.109390382458897,0.1846932725686776,0.0753028901097805,0.7400038359980834,19.0
2025-01-27,-0.085305288232242,0.1255124301028748,0.2108177183351169,0.6636698494354883,60.0
2025-01-28,0.0338126529278534,0.2006443535848971,0.1668317006570437,0.6325239487473042,62.0
2025-01-29,0.1163528615579707,0.2141834542562719,0.0978305926983011,0.6879859570472036,64.0
2025-01-30,0.2541568517037553,0.3471762096032318,0.0930193578994764,0.5598044341838941,82.0
2025-01-31,0.1892045259287226,0.303831308769683,0.1146267828409604,0.5815419094592688,84.0
2025-02-01,0.133938955841586,0.2017113375900821,0.0677723817484961,0.7305162850428711,22.0
2025-02-02,0.0110362857661169,0.1414937289310214,0.1304574431649044,0.7280488228425384,46.0
2025-02-03,-0.0751822583174899,0.185210875555387,0.260393133872877,0.5543959901546655,115.0
2025-02-04,0.0340683984546627,0.2126204723704464,0.1785520739157837,0.6088274550400202,79.0
2025-02-05,0.0652908244537133,0.2724975031292574,0.207206678675544,0.5202958096439639,66.0
2025-02-06,0.0600892861711454,0.2416844575225815,0.181595171351436,0.5767203722108196,91.0
2025-02-07,0.007863564380946,0.1518202873233419,0.1439567229423958,0.7042229911312461,52.0
2025-02-08,0.0497082936006688,0.1918129131738697,0.1421046195732009,0.6660824640383644,31.0
2025-02-09,0.0908980945241637,0.2360821184993256,0.1451840239751618,0.6187338528688997,32.0
2025-02-10,-0.0584985929328882,0.1762985387620957,0.234797131694984,0.5889043331865156,57.0
2025-02-11,0.0650182548465568,0.2319706977525753,0.1669524429060185,0.6010768573119569,67.0
2025-02-12,0.0104304753682192,0.1811574680511565,0.1707269926829373,0.6481155412107268,68.0
2025-02-13,0.1195338475517928,0.2446527587515967,0.1251189111998038,0.6302283334792876,49.0
2025-02-14,0.1376748990420419,0.2852578739732949,0.1475829749312529,0.5671591547720912,67.0
2025-02-15,0.1557084050130199,0.3052690519473037,0.1495606469342837,0.5451703091730943,37.0
2025-02-16,-0.0156330260663078,0.1820994686836806,0.1977324947499885,0.6201680381424152,26.0
2025-02-17,0.1462482316207818,0.2373123993271623,0.0910641677063805,0.6716234370092438,88.0
2025-02-18,0.0252873434431173,0.2085073816971006,0.1832200382539833,0.608272583858872,44.0
2025-02-19,0.0642418906610045,0.2952481367211375,0.2310062460601329,0.4737456147455506,45.0
2025-02-20,0.0037921652054557,0.1719017003197223,0.1681095351142665,0.6599887618078635,52.0
2025-02-21,0.0788964679108021,0.2579353603118278,0.1790388924010256,0.563025739202474,47.0
2025-02-22,0.0178763874961684,0.1072316791784639,0.0893552916822955,0.8034130185454463,48.0
